id,logical_offset,track2_raw_offset,sector,in_payload,byte_len,jp_text
1,0x11222,0x94DC2,34,0x222,10,直前に戻る
2,0x11233,0x94DD3,34,0x233,18,タイトル画面に戻る
3,0x1124D,0x94DED,34,0x24D,8,ＥＸＩＴ
4,0x1125C,0x94DFC,34,0x25C,10,セーブする
5,0x1126D,0x94E0D,34,0x26D,10,ロードする
6,0x14478098,0x175230D8,166128,0x98,26,キューティーハニーに変身！
7,0x144780B9,0x175230F9,166128,0xB9,18,如月ハニーに変身！
8,0x144780D2,0x17523112,166128,0xD2,22,コマンドハニーに変身！
9,0x144780EF,0x1752312F,166128,0xEF,32,ファンタジーナイトハニーに変身！
10,0x14478116,0x17523156,166128,0x116,22,レスラーハニーに変身！
11,0x14478133,0x17523173,166128,0x133,10,変身しない
12,0x144F5D3B,0x175B378B,166379,0x53B,16,この島から去れ。
13,0x144F6081,0x175B3C01,166380,0x81,14,私は無事です。
14,0x144F6126,0x175B3CA6,166380,0x126,18,警告は無視された。
15,0x14505D3B,0x175C5D8B,166411,0x53B,16,この島から去れ。
16,0x14506081,0x175C6201,166412,0x81,14,私は無事です。
17,0x14506126,0x175C62A6,166412,0x126,18,警告は無視された。
18,0x14515D3B,0x175D838B,166443,0x53B,16,この島から去れ。
19,0x14516081,0x175D8801,166444,0x81,14,私は無事です。
20,0x14516126,0x175D88A6,166444,0x126,18,警告は無視された。
21,0x14525D3B,0x175EA98B,166475,0x53B,16,この島から去れ。
22,0x14526081,0x175EAE01,166476,0x81,14,私は無事です。
23,0x14526126,0x175EAEA6,166476,0x126,18,警告は無視された。
24,0x14535D3B,0x175FCF8B,166507,0x53B,16,この島から去れ。
25,0x14536081,0x175FD401,166508,0x81,14,私は無事です。
26,0x14536126,0x175FD4A6,166508,0x126,18,警告は無視された。
27,0x14545D3B,0x1760F58B,166539,0x53B,16,この島から去れ。
28,0x14546081,0x1760FA01,166540,0x81,14,私は無事です。
29,0x14546126,0x1760FAA6,166540,0x126,18,警告は無視された。
30,0x14555D3B,0x17621B8B,166571,0x53B,16,この島から去れ。
31,0x14556081,0x17622001,166572,0x81,14,私は無事です。
32,0x14556126,0x176220A6,166572,0x126,18,警告は無視された。
33,0x14565D3B,0x1763418B,166603,0x53B,16,この島から去れ。
34,0x14566081,0x17634601,166604,0x81,14,私は無事です。
35,0x14566126,0x176346A6,166604,0x126,18,警告は無視された。
36,0x14575D3B,0x1764678B,166635,0x53B,16,この島から去れ。
37,0x14576081,0x17646C01,166636,0x81,14,私は無事です。
38,0x14576126,0x17646CA6,166636,0x126,18,警告は無視された。
39,0x14585D3B,0x17658D8B,166667,0x53B,16,この島から去れ。
40,0x14586081,0x17659201,166668,0x81,14,私は無事です。
41,0x14586126,0x176592A6,166668,0x126,18,警告は無視された。
42,0x147180B4,0x17826CF4,167472,0xB4,12,ゆり子・・・
43,0x14727954,0x17838A64,167503,0x154,12,ゆり子・・・
44,0x14736F3C,0x1784A3EC,167533,0x73C,12,ゆり子・・・
45,0x14747F5C,0x1785DC6C,167567,0x75C,12,ゆり子・・・
46,0x1E041A6C,0x2280C93C,245891,0x26C,26,キューティーハニーに変身！
47,0x1E041A8D,0x2280C95D,245891,0x28D,18,如月ハニーに変身！
48,0x1E041AA6,0x2280C976,245891,0x2A6,22,コマンドハニーに変身！
49,0x1E041AC3,0x2280C993,245891,0x2C3,32,ファンタジーナイトハニーに変身！
50,0x1E041AEA,0x2280C9BA,245891,0x2EA,22,レスラーハニーに変身！
51,0x1E041B07,0x2280C9D7,245891,0x307,10,変身しない
