logical_offset,track2_raw_offset,byte_len,text,jp_chars,hiragana,katakana,kanji
0x1430AE86,0x1737FAB6,11,ﾒxよﾇ磧ﾉゞﾗ,3,2,0,1
0x1430CFA7,0x17382097,13,9/[。ﾒK餌上狽,3,0,0,3
0x1432BB2C,0x173A55BC,11,ﾒxよﾇ磧ﾉゞﾗ,3,2,0,1
0x1432DC4D,0x173A7B9D,13,9/[。ﾒK餌上狽,3,0,0,3
0x1434C7D2,0x173CAF92,11,ﾒxよﾇ磧ﾉゞﾗ,3,2,0,1
0x1434E8F3,0x173CD6A3,13,9/[。ﾒK餌上狽,3,0,0,3
0x143D3116,0x17465976,15,"1Iｶが鱈找Mィ""x""",4,1,1,2
0x14445D92,0x174E95E2,12,全体マップへ,6,1,3,2
0x14445D9F,0x174E95EF,18,ウェルカム・ゲート,9,0,9,0
0x14445DB2,0x174E9602,6,ホテル,3,0,3,0
0x14445DC0,0x174E9610,14,コインロッカー,7,0,7,0
0x14445DD0,0x174E9620,12,全体マップへ,6,1,3,2
0x14445DDD,0x174E962D,14,自分のコテージ,7,1,4,2
0x14445DF1,0x174E9641,12,ゲストハウス,6,0,6,0
0x14445DFE,0x174E964E,14,美紅のコテージ,7,1,4,2
0x14445E0D,0x174E965D,18,コテージ管理事務所,9,0,4,5
0x14445E21,0x174E9671,12,全体マップへ,6,1,3,2
0x14445E2E,0x174E967E,10,コロシアム,5,0,5,0
0x14445E39,0x174E9689,18,アウストラルドーム,9,0,9,0
0x14445E4C,0x174E969C,16,アスレチックジム,8,0,8,0
0x14445E5D,0x174E96AD,6,プール,3,0,3,0
0x14445E65,0x174E96B5,12,全体マップへ,6,1,3,2
0x14445E72,0x174E96C2,12,イベント会場,6,0,4,2
0x14445E7F,0x174E96CF,14,ダミアの占い館,7,2,3,2
0x14445E8E,0x174E96DE,18,カード式有料トイレ,9,0,6,3
0x14445EA2,0x174E96F2,12,全体マップへ,6,1,3,2
0x14445EAF,0x174E96FF,18,バーチャルシアター,9,0,9,0
0x14445EC2,0x174E9712,12,オッドハウス,6,0,6,0
0x14445ECF,0x174E971F,16,サイバーサークル,8,0,8,0
0x14445EE1,0x174E9731,12,全体マップへ,6,1,3,2
0x14445EEE,0x174E973E,18,コントロールタワー,9,0,9,0
0x14445F02,0x174E9752,12,ゲストハウス,6,0,6,0
0x14445F1B,0x174E976B,9,@コテージ,4,0,4,0
0x14445F25,0x174E9775,14,美紅のコテージ,7,1,4,2
0x1445764C,0x174FD82C,14,リゾートゾーン,7,0,7,0
0x1445765B,0x174FD83B,16,エコロジーゾーン,8,0,8,0
0x1445766C,0x174FD84C,14,スポーツゾーン,7,0,7,0
0x1445767B,0x174FD85B,24,エンターテイメントゾーン,12,0,12,0
0x14457694,0x174FD874,14,サイバーゾーン,7,0,7,0
0x144576A3,0x174FD883,18,コントロールタワー,9,0,9,0
0x144576B6,0x174FD896,6,ホテル,3,0,3,0
0x144576BD,0x174FD89D,17,@南の島の白い四角,8,3,0,5
0x144576CF,0x174FD8AF,16,ウェルカムゲート,8,0,8,0
0x144576E0,0x174FD8C0,8,コテージ,4,0,4,0
