priority,jp_text,occurrences,kind,first_logical_offset,kr_text,status
1,ﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀ,1,script_like,0x14C15600,,UNTRANSLATED
2,ﾀhkfh八瑞ｬ･ﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾌﾀﾀﾌﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀｬｪihｪkｬｪkｬﾀkﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾌﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾌﾌﾀﾀﾀﾀﾀﾀﾀﾌﾀﾀﾌﾌﾀﾀﾌﾌﾀﾀﾀﾀﾀﾀﾀﾀｪ,1,script_like,0x14C09D61,,UNTRANSLATED
3,"@　吹き荒れる歓声の嵐」
　イベント会場ではいろいろな催し物が計画されています。
　第１弾は”ミスアウストラルコンテスト”。南洋に輝くアウストラルアイランドの女王にふさわしい女性を決めるコンテストです。
　第２弾は、サラのヒーリングツアー’９５ 「ヒヤシンス」
　あの世界的スターであり、超能力シンガーでもある”サラ・マーシャ”のスペシャルコンサートを開催予定です。
　上記の情報の詳細はインフォメーションボックス内”伝言・その他”の項目内で閲覧することができます。どうぞご覧ください。
・場所　エンターテイメントゾーン",1,script_like,0x1445A069,,UNTRANSLATED
4,"Z宅の約２倍。さらに、心を落ち着かせ、安らぎを与えるやさしい木の香りは、特殊技術”アラ、イツマデモイイカオリガツヅクノネ。アタシビックリ”（特許出願中）により半永久的に失われることが無いのも特徴の一つです。
　もちろん防犯設備も万全。蟻一匹といえども余計な進入を許さない完璧なセキュリティシステムと私達スタッフの完璧なサポートの元で、ゆっくりと自然を満喫していただけることでしょう。
・総コテージ数　８０棟
・バス・トイレ・キッチン完備
・場所　エコロジーゾーン
・詳しくはエコロジーゾーン内、
 コテージ管理事務所まで",1,script_like,0x144595B7,,UNTRANSLATED
5,"確信している。この見えざる敵を排除するには何よりも健康な体作りだ。この意見に賛同出来るものがいれば、今すぐスポーツゾーンへ来い！！運動し汗をかく。う〜ん最高〜！！そうすれば体の悪いものなどみ〜んな出て行くぞ！！わっはっは！！
　なに〜！骨折しているから運動出来ないだと〜っ！！
　骨折しているならこんな所へ遊びに来るな〜・・・と、言いたいところだが御安心召されい。スポーツは、行う楽しみの他に観る楽しみもあるのだ！安心して俺の所に来いっ！！
 いいか？とにかく来い！今すぐ来い！
　・・・言いたいのはそれだけだ。
以上",1,script_like,0x1445888C,,UNTRANSLATED
6,"ｾった運勢を全てプラスの方向に変えてしまうことができます。
　もちろん元々プラスの運勢の場合でも、さらに良い運勢へと導かれることでしょう。
　その方法は、占いで相手の運勢を調べ、その結果に応じて潜在能力を引き出し、未来を良い方向へと導くものです。
　効果ありとの評判で、アウストラルアイランドの中でも多くの人気を集めている。特に占い好きの若い女性客への人気は、他の施設を圧倒しています。
　「潜在能力は誰しもが持っているものであり、効果は必ずある。」とダミア本人は静かに語ってくれた。
・場所　エンターテイメントゾーン",1,script_like,0x14459E55,,UNTRANSLATED
7,"ﾁた場合は速やかに警備員、係員の指示に従ってください。
　このお約束さえ守っていただければ、警備員の配置、完璧な防犯・防火システムなどが皆様を安全で楽しいアウストラルアワーへとお迎えいたします。
　もちろん、パスカードのどんな小さな金銭トラブルも無いように細心の注意をはらって管理させていただいております。
　なお、管理システムなどでお気付きの点、ご不満がございましたらコントロールタワー管理事務局まで御連絡ください。
　電話番号はフリーダイヤル０ｘｘｘ-４１７０２６８４０、”良いなお風呂はよお”までお電話ください。",1,script_like,0x14458EB0,,UNTRANSLATED
8,"ターテイメントゾーンざんス〜！
　ここにはみんなが大好きなものがいっぱい詰まっているざんスよ。
　年中お祭り騒ぎのイベント会場。キミの好きなあの大スターもコンサートにやって来るかもしれないざんスよ。ミーもいつかはステージに立ちたいざんス。イベントの詳しい日程は伝言板に書いてあるざんス。
　その他にもヤングなレデーにバカウケの占いもあるざんス。しかも、ＥＳＰ占いと言うものらしいざんス。ミーもよく知らないけど超能力を使って占いをするらしいざんス。も〜ボンジュ〜ルって感じざんス。
　さあ、みんなですぐ来るざんス〜！！",1,script_like,0x14458AE2,,UNTRANSLATED
9,"ティー施設とは大きな違いがあります。それは、自分の体ごと仮想空間へと映しだす新技術を採用していることです。
　これまでのバーチャルリアリティ空間といえば、ＣＧ（コンピューターグラフィックス）化された自分の手や体が視界に入っているものがほとんどでした。
　しかし、このバーチャルシアターは、自分と同じ身体の特徴を持ち、リアルタイムで取り込まれた本人の表情も、そのまま仮想空間の自分へと送られています。
　あなたも自分自身が”仮想空間”というもう一つの”現実”にいると錯覚してしまうことでしょう。
・場所　サイバーゾーン",1,script_like,0x1445A2FC,,UNTRANSLATED
10,"始めた私達に、今必要なのは心の安らぎではないでしょうか。その安らぎを提供してくれるのが、このエコロジーゾーンです。
　最近自然は減る一方で、触れる機会が少なくなっています。
　そのために現代の子供達は本当の自然を知らないままに成人してしまうことが多くなっています。
　そんな子供達や、殺伐とした都会や人ごみに疲れた大人の方も、こちらで森林浴はいかがでしょうか。木々達の包容の中、もう一度、自然の優しさ、自然の偉大さ、自然の素晴らしさを感じ取り、その中でもう一人の自分を発見しましょう。
　新しい自分に「こんにちは」。",1,script_like,0x1445862B,,UNTRANSLATED
11,"屋外型人工気温上昇機”熱帯野郎”の利用により、常に気温３４度、湿度６０パーセントを保つ屋外プール施設です。
　さらに擬似オゾン層の生成により、有害な紫外線をカットして皮膚ガンの発生確率を激減させることにも成功しました。
　これらの先進的技術投入により、世界初の”どこの国でも１年中入れる屋外プール”が誕生し、春夏秋冬を問わず、快適なプール日和を提供出来るようになりました。
　ただし、なるべく自然の常夏を体感していただくため、雨への対処はしておりません。個々の判断でそれなりの配慮は必要です。
・場所　スポーツゾーン",1,script_like,0x14459B1C,,UNTRANSLATED
12,"､べきリゾートゾーン。
　島の玄関口ともいえるウェルカムゲートや、この島での滞在のお役に立つホテルなどが建ち並んでいます。その他にも、島内の総ての情報もこちらで案内を受けることができますので、観光の拠点、また、おくつろぎの場として必ずお客様のお役に立つことでしょう。
　まず、リゾートゾーンで施設などの情報を集めて、観光の計画をしっかりと立てること。そうすれば、あなたにとっての最高のアウストラルアワーを過ごせることでしょう。
　無計画に行動すると、その盛りだくさんのイベントやアトラクションに埋もれてしまいますよ。",1,script_like,0x144583EB,,UNTRANSLATED
13,粕ｧｬｪｧ･･ｬｬﾀｬﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾌﾌﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾍﾀﾀﾀﾌﾌﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀﾀ,1,script_like,0x14C09F62,,UNTRANSLATED
14,"　アウストラルアイランド最大の宿泊施設であり、全室南洋の輝きを一望出来る、高級リゾートホテル”ホテル　南の島の白い四角”
　素晴らしい景観を楽しみながら、ゆったりと一日の疲れを癒すことができることでしょう。
　ただいま２食昼寝つきフェアを実施中です。
・収容人数　１万６千人
・総部屋数　３千８百室
・バス付き洋室・和室
・朝食−地下２階バンケットホールでバイキング形式
・夕食−地下１階レストラン（和食・洋食・中華・フランス料理・イタリア料理）
・場所　リゾートゾーン　ウェルカムゲートより徒歩５分",1,script_like,0x144590B1,,UNTRANSLATED
15,ｪ｣ｩｩｨｩｨｨｩｨｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｨｩｧｨｧｧｩｩｨｨｧｧｧｧｧｧｧｧｨｧｩｨｩｩｨｩｨｨｨｨｧｨｧｧｧｧｦｦｩｧｩｩｨｩｨｨｦｨｦｦｨｧｨｨｩｩｧｨｨｧｩｩｨｨｩｩｨｨｧｨｧｧｦｧ･ｦｦ･ｧｧｧｧｧｧｨｨｨ･ｨｨｧｧｧ･･･ｩｩｩｩｩｩｩｩｨｨｧｧｨｨｨｨｨｨｨｨｨｨｧｧｧｧｧｧｨｨｨｨｨｨｩｩｨｩｨｨｧｨｧｧｩｨｩｩｨｩｨｨｨｨｧｧｧｧｨｨｩｨｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｭｩ,1,script_like,0x14D27110,,UNTRANSLATED
16,ｪ｣ｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｨｩｨｨｩｨｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｨｨｨｨｧｧｧｧｨｧｩｨｩｩｩｩｩｩｩｩｦｦｨｨｨｨｨｨ････････､､､､､､･･ｦ･ｦｦｩｧｩｩｩｨｨｨｧｧｧｧｨｧｨｨｨｨｧｦｧｧｧｧｨｨｨｩｨｨｨｨｧｧ･･ｧ･ｧｧ･ｧ･ｧｧ･ｩｧｩｩｩｩｩｩｩｩｨｨｧｨｧｧｨｧｨｨｩｨｩｩｨｩｨｨｨｨｨｨｧｨｨｨｩｨｩｩｩｩｩｩｨｩｧｨｨｨｨｨｨｨｨｨｩｨｩｩｩｩｨｨｨｧｧｨｧｧｨｨｧｨｨｧｨｨｩｩｩｩｭｩ,1,script_like,0x14D27010,,UNTRANSLATED
17,ｪｦｩｩｩｩｩｩｩｩｩｩｩｩｨｩｧｨｧｧｩｨｨｩｩｨｩｩｩｩｨｩｨｨｨｨｩｨｩｩｩｩｩｩｩｩｩｩｩｩｩｩｧｧｩｧｩｩｩｩｨｨｨｨｦｦｦｦｦｦｨｦ･･ｨｨｨｨｧｨｧｧｧｧｦｦｦｦｧｦｧｧｧｧ､ｧ､､ｧ､ｩｧｧｩｦｦ･･ｦ･ｧｧｧｧｧｧｧｧｩｩｩｩｧｩｧｧｧｧｧｧｧｧｩｨｩｩｩｩｩｩｨｨｩｨｩｩｩｩｩｩｩｩｨｨｨｨｨｨｩｨｩｩｩｩｨｩｨｨｧｧｨｧｩｨｩｩｩｩｨｨｨｨｩｩｨｨｩｨｨｩｧｨｨｧｩｨｩｩｩｩｩｩｩｩｩｩｨｨｨｨｨｩｩｨｨｩｨｨｨｧｨｨｭｨ,1,script_like,0x14D27210,,UNTRANSLATED
18,ｪｧｨｨｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｧｨｧｧｩｨｨｨｧｨｧｧｧｧｧｧｨｨｨｨｩｩｨｩｨｨｨｨｨｨｨｨｨｨｨｨｦｧｨｦｨｨｨｨｨｨｨｨｨｨｨｨｩｨｩｩｩｩｩｩｧｨｩｨｨｩｨｨｦｦ･･ｧｧｧｧｨｨｨｨｨｨｨｨｧｨ･ｦ･･ｦ･ｨｨｨｨｨｨｨｨｨｨｨｨｨｨｩｩｩｩｩｩｩｩｧｨ･･ｧ･ｨｨｩｩｨｩｨｨｧｧ･ｧ･･ｧｧｧｧｨｧｩｨｩｩｩｩｩｩｩｩｨｩｨｨｧｧｨｧｩｨｨｨｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｭｩ,1,script_like,0x14D27310,,UNTRANSLATED
19,ｪｨｨｧｨｨｨｨｨｨｨｨｨｨｨｨｩｨｩｩｩｩｩｩｨｩｨｨｨｨｨｨｩｨｨｩｨｨｨｨｨｨｩｨｨｩｨｨｨｨｨｨｨｨｧｧｧｧｨｨｨｨｨｨｨｨｧｨｩｧｩｩｩｩｨｩｨｨｩｨｦｩｦｦｦｦｨｨｧｦｧｨｧｧｧｧｧｧｧｧｧｧｨｨｨｨｧｨｧｧｨｨｨｨｧｨｧｧｧｧｧｧｧｧｧｧｨｨｨｨｨｨｨｨｨｨｨｨｩｨｩｩｩｩｩｩｩｩｩｩｨｩｨｨｧｧ･･ｧ････ｧｧ･ｧｧ･･ｧ･ｧｧｨｧｨｨｨｨｩｩｨｩｧｧｨｧｩｩｩｩｩｩｨｨｨｨｧｧｧｧｧｧｩｨｩｩｩｩｩｩｩｩｩｩｩｩｩｩｩｨｭｩ,1,script_like,0x14D27510,,UNTRANSLATED
